2_use_case_name,3_agency,3_abr,4_bureau,8_topic_area,8_question_type,10_commercial_ai,11_purpose_benefits,12_outputs,16_dev_stage,17_impact_type,18_date_initiated,19_date_acq_dev_began,20_date_implemented,21_date_retired,22_dev_method,23_contract_piids,24_hisp_support,25_hisp_name,26_public_service,27_public_info,28_iqa_compliance,29_contains_pii,30_saop_review,31_data_catalog,31_question_type,33_agency_data,34_data_docs,35_demo_features,35_question_type,37_custom_code,38_code_access,39_code_link,40_has_ato,41_system_name,42_dev_tools_wait,43_infra_provisioned,43_question_type,45_compute_request,45_question_type,47_timely_resources,47_question_type,49_existing_reuse,50_internal_review,51_extension_request,52_impact_assessment,53_real_world_testing,54_key_risks,55_independent_eval,56_monitor_postdeploy,57_autonomous_impact,57_question_type,59_ai_notice,59_question_type,61_adverse_impact,62_disparity_mitigation,63_stakeholder_consult,63_question_type,65_appeal_process,66_no_appeal_reason,67_opt_out,67_question_type
Intelligent Ticket Routing,Department of Agriculture,USDA,OCIO: Office of the Chief Information Officer,Mission-Enabling,,None of the above.,"Help desk tickets are often sent to the wrong group and must be manually re-routed to the correct group, which can take time, resources, and may delay issue resolution. The Intelligent Ticket Routing system helps to send the ticket to the correct group, increasing customer satisfaction by reducing the number of times a customer is transferred or placed on hold, and decreasing the average handle time (AHT). In our specific use case, we reduce the time taken to route a ticket to the appropriate group, shortening the time required to resolve an issue.",The system outputs a prediction of the appropriate group for ticket management.,Operation and Maintenance,Neither,1/1/2022,1/1/2022,1/1/2022,,Developed with both contracting and in-house resources.,ITSS Contract,No,,,No,,No,No,Yes,,"The data is a collection of scripts from Remedy reporting database, a structured database containing freeform text fields. More than 100,000 samples and 526 features comprise the data, including numerical, categorical, text, and date types. Data is not public.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Midrange + Moving to Sagemaker (ATO in progress),Less than 6 months,Other,DISC / Hybrid Hosting Infrastructure,Other,"DISC / ERMS Portal - SD105 Request, must be DISC employee, or customer.",Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Predictive Maintenance Impacts,Department of Agriculture,USDA,OCIO: Office of the Chief Information Officer,Mission-Enabling,,None of the above.,"A natural language processing (NLP) model classifies whether infrastructure maintenance changes will or will not cause an incident at the Digital Infrastructure Services Center (DISC). Using this system, the business can improve the review process or address specific needs within groups. This will lead to process improvements, increased productivity, higher performance and job satisfaction, higher client satisfaction, and better achievement of key performance indicators (KPIs).",The model outputs a score between 0 to 1. Closer to 1 indicates higher likelihood of an incident created by the proposed change.,Operation and Maintenance,Neither,3/1/2020,3/1/2020,3/1/2020,,Developed with both contracting and in-house resources.,ITSS Contracts,No,,,No,,No,No,Yes,,"The dataset is composed of Remedy data, containing inventory data of all of assets at DISC: hardware, software, incident tickets, and change tickets. Data contains numerical, categorical, text, and date data types.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,Midrange (current) + Sagemaker (ATO in process now - future),Less than 6 months,Other,"DISC / ERMS Portal - SD105 Request, must be DISC employee, or customer.",Other,"DISC / ERMS Portal - SD105 Request, must be DISC employee, or customer.",Yes,,Re-use production level code from a different use-case: This use case re-uses production level code and/or internally developed code libraries for model development from existing AI systems or repositories inside the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Artificial Intelligence SPAM Mitigation Project,Department of Agriculture,USDA,OASCR: Office of the Assistant Secretary for Civil Rights,Government Services (includes Benefits and Service Delivery),,None of the above.,"An AI/ML model automatically classifies and removes spam and marketing emails from civil rights complaints email channels. Benefits include reducing the time spent manually managing email channels, decreasing the memory burden on email systems, and lowering the risk from malicious emails. ","The model outputs a classification of received emails, flagging spam, marketing, and phishing emails.",Retired,Neither,,,,9/30/2023,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Approximate String Matching (aka fuzzy matching) to Standardize Data,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Mission-Enabling,,None of the above.,"A model is used to replace typos in Plant Protection and Quarantine (PPQ) program data using a list of standardized producer and commodity names. This results in clean, standardized data through an automated workflow. Benefits include reducing labor hours compared to manual data cleaning, makes near-real-time reporting possible, and accurate data enables program managers to conduct efficient policy enforcement and program monitoring.",The model outputs corrected text data.,Operation and Maintenance,Neither,2/1/2023,2/23/2023,5/16/2023,,Developed in-house.,,No,,,No,,No,No,Yes,,"The data used includes data tables from the Agriculture Risk Management (ARM) data system, Agricultural Commodity Import Requirements (ACIR), and the Participating Government Agencies (PGA) Message Set. The cleaned data is displayed in a dashboard for program monitoring. Quality control data are exported from each matching routine and used to validate results as needed.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Automated PDF Document Processing and Information Extraction,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Mission-Enabling,,None of the above.,This use case takes program and workforce related information stored in thousands of PDFs and converts the information into data tables that can be used for analytics and dashboards. This makes information that is difficult to find available in real-time to support decision making and saves large amounts of time compared to previous methods used.,The model outputs structured database tables.,Operation and Maintenance,Neither,10/15/2022,10/24/2022,1/15/2023,,Developed in-house.,,No,,,No,,No,No,Yes,,"The data used is from Agriculture Vessel Inspection forms concerning flighted spongy moth complex, sent from Customs and Border Protection to Plant Protection and Quarantine.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,No,No – agency does not have access to source code.,,Yes,Microsoft Power Automate,Less than 6 months,No,,No,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Census Propensity Scores via ML,Department of Agriculture,USDA,NASS: National Agricultural Statistics Service,Other,Agricultural Statistics,None of the above.,This model predicts how likely individuals or operations are to complete the Census of Agriculture. The predictions can help data collectors decide where they need to focus their efforts in order to get more complete census responses.,The model outputs a probability score (all values from and including 0 to 1).,Operation and Maintenance,Neither,10/1/2022,10/1/2022,11/1/2022,,Developed in-house.,,No,,,No,,No,No,Yes,,"The data is collected from the 2017 Census of Agriculture, which includes number of farms by size and type, inventory and values for crops and livestock, producer characteristics, and much more.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",Other,Zipcode,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,No,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Ecological Site Descriptions (Machine Learning),Department of Agriculture,USDA,NRCS: Natural Resources Conservation Service,Mission-Enabling,,None of the above.,"This AI/ML work conducts analysis of over 20 million records of soils data and 20,000 text documents of ecological information in order to provide complete soil based ecological information for the country. Benefits include reduction in labor hours manually analyzing documents, and enabling stakeholders to examine records in ways previously not thought of to make more informed decisions.",The AI model outputs ecological soil classifications and mappings.,Retired,Neither,,,,9/30/2023,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Conservation Effects Assessment Project,Department of Agriculture,USDA,NRCS: Natural Resources Conservation Service,Mission-Enabling,,None of the above.,"The purpose of the use case is to predict the conservation effects of cropland practices in real time, with no technical skill required. Such models would allow field conservation planners to have real-time conservation effects on sediment and nutrients.",The model outputs predictions of sediment and nutrient change values based on conservation methods.,Acquisition and/or Development,Neither,11/1/2021,11/1/2021,,,Developed in-house.,,No,,,,,,No,Yes,,"The data is collected from the Conservation Effects Assessment Project Survey cropland assessment, which measures trends in cropland conservation practices and their outcomes over time.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,Yes,R Studio,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Digital Imagery (no-change) for NRI Program,Department of Agriculture,USDA,NRCS: Natural Resources Conservation Service,Mission-Enabling,,None of the above.,"AI algorithms are used to look at landscape images and detect if the landscape has changed from year to year. Currently, about 72000 aerial images are interpreted by dozens of technicians each year to collect data for the National Resources Inventory (NRI) program. This case would decrease the number of labor hours required of technicians to manually interpret images.",The model outputs a classification of “no-changes” in the images if the landscape in the images remain stable from year to year.,Initiated,Neither,10/1/2022,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Nutrition Education & Local Access Dashboard,Department of Agriculture,USDA,FNS: Food and Nutrition Service,Government Services (includes Benefits and Service Delivery),,None of the above.,"The goal of this dashboard is to provide county-level information on nutrition education and local food access, alongside other metrics related to hunger and nutritional health. This interactive dashboard can provide specific details based on the properties of farm to school intensity and size, program activity intensity, ethnicity and race, fresh food access, school size, and program participation. These properties allow users to find similar states based on any of these characteristics, opening up opportunities for partnerships with states they may not have considered. Benefits include increasing stakeholder awareness and empowering more informed decision-making and collaboration.",The model outputs groups of similar counties/states based on the different combinations of properties available for states. ,Operation and Maintenance,Neither,11/9/2022,1/20/2023,6/23/2023,,Developed with both contracting and in-house resources.,,No,,,Yes,,No,No,Yes,,"The data is composed of numerical and categorical data describing farm to school intensity and size, program activity intensity, ethnicity and race, fresh food access, school size, and program participation.","Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",Race/Ethnicity,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Survey Text Remarks Value Scoring,Department of Agriculture,USDA,NASS: National Agricultural Statistics Service,Mission-Enabling,,None of the above.,The purpose of this use case is to analyze a large amout of text in survey responses and score all comments with a priority value. The highly scored blocks of text then get prioritized for review by a human and are responded to more quickly than if they were to be retained in a queue.  ,"The model outputs a value score on each snippit of text, highly scored snippits of text are placed at the front of the queue before lower scored blocks to capture text of value more quickly.",Operation and Maintenance,Neither,9/24/2021,12/27/2021,4/20/2022,,Developed in-house.,,No,,,No,,Yes,No,Yes,,The training data is created from historically collected text and survey remarks. ,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,ELMO,Less than 6 months,No,,Other,This is not needed,,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Survey Outlier Detection Model,Department of Agriculture,USDA,NASS: National Agricultural Statistics Service,Other,Agricultural Statistics,None of the above.,The purpose of this use case is to identify abnormal values to edit in surveys. This reduces manual labor and improves data quality.,The model outputs a recommendation of which values in a dataset should be changed.,Operation and Maintenance,Neither,5/1/2022,5/1/2022,5/27/2022,,Developed in-house.,,No,,,No,,No,No,Yes,,"The data is collected from National Agricultural Statistics Service Survey Data, which is structured data containing categorical and numerical values.","Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,Yes – source code is publicly available.,https://jds-online.org/journal/JDS/article/1383/file/13236,No,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Multilingual Translation of Recalls and Public Health Alerts,Department of Agriculture,USDA,FSIS: Food Safety and Inspection Service,Government Services (includes Benefits and Service Delivery),,None of the above.,"The purpose of this system is to expand the multilingual outreach of food safety information like recalls and public health alerts. Benefits include cost savings on vendor translation services, faster messaging circulation, and increased number of available languages to the general public.",The model outputs multilingual translations created from the original english text.,Acquisition and/or Development,Neither,6/15/2023,6/15/2023,,,Developed with both contracting and in-house resources.,Leveraging Azure's COTS product service,No,,,,,,No,Yes,,,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Genomic Analyses of Pathogen Subtypes,Department of Agriculture,USDA,FSIS: Food Safety and Inspection Service,Science & Space,,None of the above.,"The purpose of this use case is to use machine learning (ML) methods to group foodborne germs based on patterns in their genes, then connect this information with available health data to evaluate foodborne germ risk to public health. Expected benefits include improving our understanding of important foodborne germ genes, assessing key genes and new trends, and identifying and ranking germs that are important for public health.","The model outputs predictions of high risk foodborne germ subtypes, key genetic markers by importance, and emerging trends.",Acquisition and/or Development,Neither,8/1/2022,2/1/2023,,,Developed in-house.,,No,,,,,,No,Yes,,"The data is composed of agency-owned data, including whole genome sequencing (WGS) data from Food Safety and Inspection Service (FSIS). Sampling programs are publicly available and hosted on the National Center for Biotechnology Information (NCBI) database.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Foodborne Illness Source Attribution,Department of Agriculture,USDA,FSIS: Food Safety and Inspection Service,Science & Space,,None of the above.,"The Interagency Food Safety Analytics Collaboration (IFSAC) - a partnership between the Centers for Disease Control and Prevention (CDC), the U.S. Food and Drug Administration (FDA), and the Food Safety and Inspection Service (FSIS) - has used computer-based methods to predict the likely sources of foodborne illnesses in humans caused by various germs (e.g., Salmonella, Campylobacter). Expected benefits include improving our understanding of where these germs come from and how they spread, which can help in creating measures and policies to prevent or reduce illnesses and the overall impact of these diseases.","The model outputs predictions of likely sources of foodborne human illness cases, along with a confidence score of how probable it is that the illness came from the predicted source.",Acquisition and/or Development,Neither,8/2/2021,2/1/2023,,,Developed in-house.,,No,,,,,,No,Yes,,"The data is composed of agency-owned data, including whole genome sequencing (WGS) data from Food Safety and Inspection Service (FSIS). Sampling programs are publicly available and hosted on the National Center for Biotechnology Information (NCBI) database.","Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,No,,Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Public Comments Analysis,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service; AMS: Agricultural Marketing Service,Mission-Enabling,,None of the above.,The purpose of the model is to automate the analysis of comments from regulations.gov to help personnel in their review and response tasks. Benefits include a reduction in the number of labor hours needed for review and response.,The model outputs text analysis and categorization of the public comments. ,Acquisition and/or Development,Neither,11/1/2023,11/1/2023,,,Developed in-house.,,No,,,,,,No,Yes,,,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",,,,,,Yes,Marketing and Regulatory Programs Azure GSS; Marketplace for Data & Analytics (MDA),6-12 months,No,,Other,In development,No,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Limited documentation for review: Some information regarding the model’s performance on specific benchmarks are available or have been shared with specific stakeholders within the agency.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Rangeland Analysis Platform,Department of Agriculture,USDA,ARS: Agricultural Research Service,Energy & the Environment,,None of the above.,"The Rangeland Analysis Platform (RAP) allows users to track changes in plant growth and coverage over time. By monitoring the condition of agricultural ecosystems and the impact of conservation efforts, it can guide conservation practices for wildlife habitats, carbon assessments, and tax assessments.",The system outputs estimated fractional plant cover and net primary productivity estimates.,Operation and Maintenance,Neither,4/1/2022,3/1/2023,1/1/2017,,Developed in-house.,,No,,,Yes,,No,No,Yes,,"The data is collected from over 75,000 monitoring locations collected by Natural Resources Conservation Service (NRCS), Bureau of Land Management, and other agencies. These data were combined and stored in the Landscape Data Commons (www.landscapedatacommons.org).","Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,"Yes – agency has access to source code, but it is not public.",,Yes,"Google Earth Engine, Google Cloud",Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Predictive Cropland Data Layer,Department of Agriculture,USDA,NASS: National Agricultural Statistics Service,Other,Agricultural Statistics,None of the above.,The purpose of this system is to predict crop rotations. Benefits include improving data quality of area-based surveys.,The system outputs predictions of the types of crops in specific locations within the Conterminous United States (CONUS).,Operation and Maintenance,Neither,1/1/2021,1/1/2021,2/15/2021,,Developed in-house.,,No,,,No,,No,No,Yes,,The data is derived from Cropland Data Layer (CDL) and Farm Service Agency (FSA) administrative data. CDL is produced using satellite images and extensive agricultural ground reference data.,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,6-12 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Dam Inspection Report Document Processing,Department of Agriculture,USDA,NRCS: Natural Resources Conservation Service,Mission-Enabling,,None of the above.,"The purpose of this AI is to pull out and organize data from thousands of dam inspection documents so that we can use Microsoft Power BI to understand the condition of thousands of USDA Watershed program dams. This allows us to identify the biggest issues and trends across our collection of over 2,100 dams in Oklahoma while reducing labor hours required to complete the task manually.","The model outputs text and checkbox responses, including dam metadata, inspection issue tracking (yes and no checkboxes), and further remarks on the issue or what has been/needs to be done on the dam.",Operation and Maintenance,Neither,5/1/2023,9/1/2023,12/1/2023,,Developed in-house.,,No,,,No,,No,No,Yes,,"The data is made up of dam inspection forms collected by dam owners (ex. conservation districts, cities) or Natural Resources Conservation Service (NRCS) staff. The data was validated through manual checks and is composed of 30+ dam inspection reports with different handwriting. The data contains 120+ variables that are read from each two-page inspection report. The data types are date, text, table (text variable types in the table), and checkbox binary outputs (checked: yes or no). The data is not publicly available.","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,No,No – agency does not have access to source code.,,Yes,AI Builder,Less than 6 months,Other,Worked with other NRCS leadership to get this model AI credits again for use once Microsoft AI Builder was reapproved.,Yes,,Yes,,Re-use production level code and/or data products: This use case re-uses production level code as well as data products that have been published or made widely available for data science teams for within the agency.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
Portfolio Approval and Management (PAM) Bot,Department of Agriculture,USDA,ERS: Economic Research Service,Mission-Enabling,,None of the above.,"The purpose of the model is to improve the Economic Research Service (ERS) research approval process. The system reduces the time it takes to fill out information and seeking approval, improves information accuracy, and brings visibility to the approval status across various division functions.","The system provides three outputs: the approval status, summary recommendations, and generated citations.",Initiated,Neither,5/1/2024,,,,,,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
GIS Invasive Tree Extraction for Field Level Users,Department of Agriculture,USDA,NRCS: Natural Resources Conservation Service,Energy & the Environment,,None of the above.,"The puspose of the model is to estimate of the spread of invasive tree infestation, specifically Eastern redcedar. This helps to avoid poor or inaccurate estimates caused by time constraints and heavy workloads when manually collecting the data.",The model outputs polygons representing the extent of trees present in landscape.,Operation and Maintenance,Neither,7/15/2019,7/15/2019,9/30/2019,,Developed in-house.,,No,,,No,,No,No,Yes,,"The data is created from the National Agriculture Imagery Program (NAIP), aerial images of land taken from aircrafts. The data is not limited to NAIP, but the 2020 NAIP has proven to be the most reliable source data.","Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,No,,Yes,,Yes,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
DISTRIB-II: Habitat Suitability of Eastern United States Tree,Department of Agriculture,USDA,FS: Forest Service,Science & Space,,None of the above.,"The purpose and expected benefits of the Climate Change Atlas are to give forest resource managers, forest landowners, and the general public information on the current and potential future of habitats for various tree species in the eastern United States. This information can contribute to forest management decisions when considering how climate change may affect the trees currently present and how likely it is that other tree species not currently in an area might find new habitats under different climate change scenarios.","The system outputs predictions of how well a tree species can live in a certain habitat based on climate change scenarios. Maps, graphs, and reports are generated from the modeled geographic information systems (GIS) data.",Operation and Maintenance,Neither,4/10/1998,5/16/2016,9/12/2019,,Developed in-house.,,No,,,Yes,"The input data and predictions have been evaluated using standard statistical methods, reviewed by several experts and many users, and the project has been published in several peer-reviewed journals.",No,No,Yes,,The data is created from publicly available Forest Inventory and Analysis data.,"Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups. ",,,Yes,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,Yes,,Yes,,Yes,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,Documentation has been published: Complete documentation has been published to a repository or data catalog within the agency and is made accessible to other data science teams for review and feedback.,No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
FSA FLP Chatbot,Department of Agriculture,USDA,FSA: Farm Service Agency,Mission-Enabling,,None of the above.,The purpose of this use case is to solve the problem of searching Loan handbooks to provide better customer service. The expected benefit is to help employees provide better service. A second benefit that is being explored is providing Veteran specific answers to services.,The expected output is text answers to prompt questions. ,Acquisition and/or Development,Neither,12/14/2023,3/29/2024,,,Developed in-house.,,No,,,,,,No,Yes,,"The data is collected from the 1 and 3 Farm Loan handbooks that are available on USDA intranet. The handbooks contain text, tables, and charts. There are also images such as screen shots in the handbooks.","Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",Other,Veteran,,,,No,,6-12 months,Other,Using DISC Incubator,No,,No,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
ROE Document Recognition - RoeDR,Department of Agriculture,USDA,RMA: Risk Management Agency,Mission-Enabling,,None of the above.,"The purpose of this model is to analyze documents from producers and Authorized Insurance Providers (AIPs), pick the appropriate page from the documents, read the signature date and producer signature name, convert the date and name to text, and load it into an application. This feature saves us time from having to input the data manually.  We can then use the data for reporting purposes.",The model outputs the producer signature and signature date within document as text.,Operation and Maintenance,Neither,5/15/2024,5/23/2024,6/12/2024,,Developed in-house.,,No,,,No,,No,No,Yes,,The data is created from actuarial change forms and determined yield requests received from authorized insurance providers. The data contained 150 documents. ,"Documentation is widely available: Documentation is not only complete, but is widely accessible within the agency, and has an owner and a regular update cadence.",,,No,"Yes – agency has access to source code, but it is not public.",,No,,Less than 6 months,No,,No,,,,Use of existing data platforms: This use case is being developed on existing enterprise data and analytics platforms within the agency rather than procuring additional platforms or SaaS to operate.,"Documentation has been developed: Complete documentation detailing model performance across a range of benchmarks, architecture, relevant features and information regarding the appropriate use of the model for predictive tasks has been created.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
IRIS,Department of Agriculture,USDA,APHIS: Animal and Plant Health Inspection Service,Science & Space,,None of the above.,The purpose of this system is to make literature searches more effective for Biotechnology Regulatory Services. This increases work efficiency with our regulatory tasks.,The model outputs recommended literature list for scientists.,Operation and Maintenance,Neither,1/9/2023,2/5/2024,5/15/2024,,Developed with contracting resources.,12639524P0188  ,No,,,No,,No,No,Yes,,,"Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,No,No – agency does not have access to source code.,,No,,Less than 6 months,No,,No,,No,,None: This use case does not re-use any internally developed tooling or managed infrastructure from any other AI development efforts within the agency.,"No documentation is available: No documentation detailing model performance metrics, model architecture, features and intended use of the models have been created or are currently accessible to other data science teams within the agency.",No – Agency did not request an extension for this use case.,,,,,,,,,,,,,,,,,
