agency,bureau,count
FDIC,Legal Division and Office of Inspector General,1
FDIC,Legal Division,1
FDIC,Division of Insurance and Research,1
FDIC,Division of Administration and Office of Inspector General,1
FERC,FERC,6
FHFA,OCIO,10
FHFA,OGC,2
FHFA,OCOO,1
FHFA,OCFO,1
FHFA,DHMG,1
FHFA,DBR,1
FRB,Division of Supervision and Regulation,21
FRB,Division of Research and Statistics,5
FRB,Division of Information Technology,4
FRB,Division of Monetary Affairs,3
FRB,Office of the Secretary,1
FRB,Office of the Inspector General,1
FRB,Division of Management,1
FRB,Division of Financial Stability,1
FRB,Division of Consumer and Community Affairs,1
FRTIB,Agency Wide,6
FTC,BCP/DCRO,12
FTC,BC/BCP/OGC,2
FTC,OCIO,1
FTC,BE/BC/OCIO,1
HHS,HHS/NIH,124
HHS,HHS/CDC,103
HHS,HHS/FDA/CDER,40
HHS,HHS/ACF,26
HHS,HHS/CMS/CCIIO,20
HHS,HHS/CMS/OIT,19
HHS,HHS/HRSA,18
HHS,HHS/CMS/OC,10
HHS,HHS/CMS/CCSQ,7
HHS,HHS/FDA/HFP,6
HHS,HHS/ASFR/OG,6
HHS,HHS/FDA/OII,5
HHS,HHS/CMS/OFM,5
HHS,HHS/AHRQ/CQuIPS,5
HHS,HHS/SAMHSA,4
HHS,HHS/FDA/OCS,4
HHS,HHS/FDA/CBER,4
HHS,HHS/FDA/ODT,3
HHS,HHS/FDA/CDRH,3
HHS,HHS/DAB/OS,3
HHS,HHS/CMS/OHI,3
HHS,HHS/CMS/CM,3
HHS,HHS/ASPR/CP,3
HHS,HHS/OS/ASFR,2
HHS,HHS/OCR,2
HHS,HHS/OCIO,2
HHS,HHS/FDA/OC,2
HHS,HHS/CMS/OPOLE,2
HHS,HHS/CMS/CMCS,2
HHS,HHS/ASTP,2
HHS,HHS/OASH/OIDP,1
HHS,HHS/CMS/OAGM,1
HHS,HHS/CMS/EPRO,1
HHS,HHS/ASPR/ODAIA,1
HHS,HHS/ASFR/OA,1
HHS,HHS/AHRQ/OEREP,1
HHS,HHS/AHRQ/CFACT,1
HHS,HHS/AHRQ/CEPI,1
HHS,HHS/ACF/OA,1
HUD,Office of Housing,3
HUD,Ginnie Mae,3
HUD,Office of the Chief Financial Officer (OCFO),2
HUD,Office of the Chief Information Officer,1
HUD,Office of the Chief Human Capital Officer,1
HUD,Office of Public Affairs (OPA),1
NARA,National Archives & Records Administration (NARA),14
NASA,GSFC: Goddard Space Flight Center,227
NASA,MSFC: Marshall Space Flight Center,44
NASA,JPL: Jet Propulsion Laboratory,43
NASA,LaRC: Langley Research Center,38
NASA,ARC: Ames Research Center,34
NASA,JSC: Johnson Space Center,13
NASA,HQ: Headquarters,9
NASA,GRC: Glenn Research Center,7
NASA,OSMA: Office of the Chief Safety & Mission Assurance,3
NASA,WS: White Sands Test Facility,2
NASA,SSC: Stennis Space Center,2
NASA,OPS: Office of Protective Services,1
NASA,GISS: Goddard Institute for Space Studies,1
NASA,AFRC: Armstrong Flight Research Center,1
NCUA,N/A,3
NRC,NRC,4
NSF,OIA,4
NSF,TIP-ITE-ENGINES,3
NSF,OLPA,3
NSF,OCIO,3
NSF,ENG/CBET,2
NSF,BIO/IOS,2
NSF,TIP & OCIO,1
NSF,SBE/NCSES,1
NSF,OIA/EAC,1
NSF,OGC,1
NSF,EDU/DRL,1
NSF,CISE/OAD,1
NTSB,NTSB,4
OPM,OCIO,4
OPM,Human Resources,1
SBA,OCIO: Office of the Chief Information Officer,17
SBA,OFO: Office of Field Operations,9
SBA,OCPL: Office of Communications & Public Liaison,2
SBA,OCFO: Office of the Chief Financial Officer,2
SBA,Advocacy: Office of Advocacy,2
SBA,ODRR: Office of Disaster Recovery And Resilience,1
SBA,OCA: Office of Capital Access,1
SEC,Office of Information Technology (OIT),10
SEC,Division of Examinations (EXAMS),10
SEC,Office of the Chief Data Officer (OCDO),5
SEC,Division of Enforcement (ENF),5
SEC,"Office of the Chief Data Officer (OCDO), Office of Information Technology (OIT), Office of the Advocate for Small Business Capital Formation (OASB)",3
SEC,Division of Investment Management (IM),3
SEC,"Office of Information Technology (OIT), Office of the Chief Data Officer (OCDO), Office of the Advocate for Small Business Capital Formation (OASB)",2
SEC,EDGAR Business Office (EBO),2
SEC,"Division of Enforcement (ENF), Division of Examinations (EXAMS), Office of the Chief Data Officer (OCDO), Office of the General Counsel (OGC)",2
SEC,"Division of Enforcement (ENF), Division of Examinations (EXAMS)",2
SEC,"Division of Enforcement (ENF), Division of Economic and Risk Assessment (DERA)",2
SEC,"Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)",2
SEC,Division of Corporate Finance (CF),2
SEC,Strategic Hub for Innocation and Financial Technology (FinHub),1
SEC,Office of the Secretary (OS),1
SEC,Office of the Chief Operating Officer (OCOO),1
SEC,Office of Human Resources (OHR),1
SEC,"Division of Trading and Markets (TM), Office of the Chief Data Officer (OCDO), Division of Economic and Risk Assessment (DERA), Division of Investment Management (IM), Division of Corporation Finance (CF)",1
SEC,"Division of Investment Management (IM), Disclosure Review and Accounting Office (DRAO)",1
SEC,"Division of Examinations (EXAMS), Division of Enforcement (ENF)",1
SEC,"Division of Examinations (EXAMS), Division of Economic and Risk Assessment (DERA), Office of the Chief Data Officer (OCDO)",1
SEC,Division of Enforcement (ENF); Division of Economic and Risk Analysis (DERA),1
SEC,Division of Corporation Finance (CF),1
SSA,Chief Information Officer,12
SSA,"Chief Information Officer, Analytics and Improvements",8
SSA,Human Resources,4
SSA,"Chief Information Officer, Disability Information Systems",4
SSA,"Chief Information Officer, Digital Customer Solutions",3
SSA,"Law and Policy, Disability Policy",1
SSA,"Chief Information Officer, System Operations and Hardware Engineering",1
State,CA,13
State,DT,12
State,NFATC,6
State,MGT,5
State,F/FAO,5
State,CSO,3
State,CGFS,3
State,WHA,2
State,GPA,2
State,DS,2
State,A/SKS,2
State,R/GEC,1
State,PM,1
State,ECA,1
State,BP,1
State,A/PRI,1
TVA,Information Technology,16
TVA,Commercial Energy Solutions,8
TVA,Enterprise Analytics & Innovation,4
TVA,Generation Projects & Fleet Services,3
TVA,Transmission,2
TVA,Supply Chain,2
TVA,Nuclear,2
TVA,Network,2
TVA,Innovation & Research,2
TVA,Generation Projects & Fleet Strategy,2
TVA,Generation,2
TVA,Enterprise Planning,2
TVA,Workforce Development,1
TVA,Transmission System Support,1
TVA,Safety & Shared Services,1
TVA,Riverfleet Management Services,1
TVA,River Management,1
TVA,Right of Way,1
TVA,Office of General Counsel,1
TVA,Monitoring Diagnostics Management,1
TVA,IT Operations,1
TVA,GIS,1
TVA,External Communications,1
TVA,Economic Development,1
Treasury,Internal Revenue Service (IRS),61
Treasury,Office of the Comptroller of the Currency (OCC),26
Treasury,Bureau of the Fiscal Service (BFS),23
Treasury,Office of Financial Research (OFR),7
Treasury,Bureau of Engraving and Printing (BEP),5
Treasury,Technology Common Services Center (TCSC),3
Treasury,United States Mint (USM),2
Treasury,Terrorism and Financial Intelligence (TFI),1
Treasury,General Counsel,1
USDA,Natural Resources and Environment,76
USDA,"Research, Education and Economics",22
